year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2017,ITA,Italy,CHE,Switzerland,417970.222,747224.047,0
2017,ARE,United Arab Emirates,SDN,Sudan,417918.908,668619.21,0
2017,IND,India,MOZ,Mozambique,415918.976,2162278.94,0
2017,RUS,Russian Federation,MAR,Morocco,410330.261,1103346.478,0
2017,BGR,Bulgaria,EGY,Egypt,410272.925,724185.059,0
2017,GBR,United Kingdom,NGA,Nigeria,409207.048,720575.283,0
2017,TUR,TÃ¼rkiye,EGY,Egypt,408293.429,728621.495,0
2017,SVK,Slovakia,AUT,Austria,408173.911,741073.209,0
2017,IRN,Iran,AFG,Afghanistan,407644.898,971909.214,0
2017,NLD,Netherlands,NOR,Norway,407473.815,472835.68,0
2017,ITA,Italy,EGY,Egypt,405862.698,700564.287,0
2017,NLD,Netherlands,PRY,Paraguay,405609.525,675711.623,0
2017,RUS,Russian Federation,BRA,Brazil,405182.601,785738.887,0
2017,ISR,Israel,GRC,Greece,404811.254,958464.739,0
2017,FRA,France,DZA,Algeria,403580.954,825479.885,0
2017,MYS,Malaysia,MMR,Myanmar,402850.886,871862.717,0
2017,AUT,Austria,HUN,Hungary,399704.358,645520.738,0
2017,ITA,Italy,SGP,Singapore,399067.709,1117026.058,0
2017,SGP,Singapore,FRA,France,399047.319,731347.529,0
2017,ITA,Italy,USA,USA,398435.06,649856.531,0
2017,NOR,Norway,SWE,Sweden,398175.345,840736.321,0
2017,ARE,United Arab Emirates,TZA,United Rep. of Tanzania,396404.433,910384.711,0
2017,RUS,Russian Federation,ISR,Israel,395987.967,1166985.715,0
2017,NLD,Netherlands,SAU,Saudi Arabia,393670.272,646446.817,0
2017,LTU,Lithuania,EST,Estonia,393151.483,767683.976,0
2017,SAU,Saudi Arabia,JOR,Jordan,389256.159,728181.31,0
2017,NLD,Netherlands,MYS,Malaysia,387109.613,1142161.311,0
2017,USA,USA,PRY,Paraguay,385896.167,297951.394,0
2017,ESP,Spain,BEL,Belgium,385537.55,774337.144,0
2017,ARE,United Arab Emirates,USA,USA,384321.548,307861.43,0
2017,DEU,Germany,BEL,Belgium,382654.99,722254.57,0
2017,PAN,Panama,ECU,Ecuador,382550.409,772406.26,0
2017,RUS,Russian Federation,EGY,Egypt,381452.64,947730.8,0
2017,SGP,Singapore,FJI,Fiji,379657.545,824103.9,0
2017,NLD,Netherlands,GIN,Guinea,378121.844,763961.92,0
2017,NLD,Netherlands,ARE,United Arab Emirates,374899.767,718465.771,0
2017,DZA,Algeria,ITA,Italy,374760.909,715721.737,0
2017,NLD,Netherlands,GHA,Ghana,373526.421,720496.112,0
2017,DZA,Algeria,NLD,Netherlands,373195.017,803697.275,0
2017,GRC,Greece,MKD,North Macedonia,372416.981,718941.105,0
